Year,County,GDP,Population,Violent,Property,Human Trafficking,Index Crime Total
2020,Bryan,952250.0,45035.0,100,467,0,567
2020,Bulloch,2185782.0,79918.0,56,394,0,450
2020,Burke,2879646.0,24633.0,55,404,0,459
2020,Butts,629693.0,25551.0,35,189,0,224
2020,Calhoun,122924.0,5573.0,4,8,0,12
2020,Camden,1637467.0,54925.0,4,8,0,12
2020,Candler,245691.0,11022.0,29,175,0,204
2020,Carroll,4559787.0,119484.0,226,1551,1,1778
2020,Catoosa,1352066.0,68006.0,137,1004,0,1141
2020,Charlton,187884.0,12532.0,7,54,0,61
2020,Chatham,16159802.0,295064.0,216,1307,1,1524
2020,Chattahoochee,1464217.0,9481.0,0,0,0,0
2020,Chattooga,476891.0,24922.0,24,257,0,281
2020,Cherokee,7251269.0,268175.0,294,1464,7,1765
2020,Clarke,6655000.0,128550.0,682,4033,0,4715
2020,Clay,90676.0,2830.0,9,34,0,43
2020,Clayton,12644402.0,297623.0,1790,7395,6,9191
2020,Clinch,239014.0,6725.0,4,36,0,40
2020,Cobb,48670107.0,766374.0,2028,12177,45,14250
2020,Coffee,1374173.0,43052.0,84,508,1,593
2020,Colquitt,1354940.0,45900.0,81,546,0,627
2020,Columbia,3701736.0,156849.0,39,117,0,156
2020,Cook,327324.0,17234.0,17,158,0,175
2020,Coweta,4448167.0,146725.0,1201,1748,11,2960
2020,Crawford,137173.0,12103.0,25,156,0,181
2020,Crisp,784161.0,20050.0,86,795,0,881
2020,Dade,371304.0,16235.0,0,0,0,0
2020,Dawson,790586.0,27056.0,1,7,0,8
2020,Decatur,757069.0,29324.0,124,717,0,841
2020,DeKalb,36653837.0,764420.0,3761,19145,33,22939
2020,Dodge,383152.0,19874.0,68,394,1,463
2020,Dooly,356995.0,11165.0,14,38,0,52
2020,Dougherty,3941562.0,85153.0,1296,3446,1,4743
2020,Douglas,4159992.0,144552.0,458,3016,2,3476
2020,Early,449726.0,10799.0,50,266,0,316
2020,Echols,39969.0,3720.0,3,13,0,16
2020,Effingham,1867782.0,65158.0,66,491,0,557
2020,Elbert,579895.0,19667.0,64,325,0,389
2020,Emanuel,621320.0,22887.0,20,122,0,142
2020,Evans,329452.0,10790.0,13,82,0,95
2020,Fannin,669139.0,25434.0,0,0,0,0
2020,Fayette,4717499.0,119483.0,86,1293,1,1380
2020,Floyd,3503874.0,98575.0,363,1383,26,1772
2020,Forsyth,9361967.0,252878.0,134,1113,0,1247
2020,Franklin,793132.0,23468.0,27,282,0,309
2020,Fulton,159661422.0,1069370.0,3601,14504,8,18113
2020,Gilmer,781816.0,31428.0,99,285,0,384
2020,Glascock,29959.0,2894.0,2,12,0,14
2020,Glynn,3431721.0,84471.0,285,1279,1,1565
2020,Gordon,2052767.0,57716.0,141,913,0,1054
2020,Grady,578647.0,26222.0,63,553,0,616
2020,Greene,658223.0,19021.0,53,217,0,270
2020,Gwinnett,44795029.0,958005.0,316,2023,4,2343
2020,Habersham,1284822.0,46138.0,19,302,0,321
2020,Hall,10102911.0,203735.0,485,2660,1,3146
2020,Hancock,144986.0,8708.0,19,58,0,77
2020,Haralson,732375.0,30037.0,125,596,0,721
2020,Harris,468239.0,34896.0,7,125,0,132
2020,Hart,742121.0,25871.0,94,532,0,626
2020,Heard,1112213.0,11448.0,23,138,0,161
2020,Henry,6258193.0,241848.0,133,934,0,1067
2020,Houston,6283696.0,164343.0,564,3850,1,4415
2020,Irwin,192807.0,9650.0,31,187,0,218
2020,Jackson,3190843.0,76717.0,94,885,0,979
2020,Jasper,256030.0,14666.0,38,171,0,209
2020,Jeff Davis,371787.0,14799.0,44,222,0,266
2020,Jefferson,508315.0,15678.0,64,153,0,217
2020,Jenkins,153657.0,8666.0,23,115,0,138
2020,Johnson,109459.0,9186.0,0,0,0,0
2020,Jones,404668.0,28397.0,48,359,0,407
2020,Lamar,395394.0,18551.0,15,125,0,140
2020,Lanier,112342.0,9926.0,14,119,0,133
2020,Laurens,1581208.0,49544.0,74,424,0,498
2020,Lee,679055.0,33215.0,75,428,0,503
2020,Liberty,3271802.0,65317.0,199,741,3,943
2020,Lincoln,112332.0,7701.0,0,0,0,0
2020,Long,154222.0,16269.0,16,89,0,105
2020,Lowndes,4488220.0,118415.0,386,2941,10,3337
2020,Lumpkin,772816.0,33631.0,57,247,0,304
2020,Macon,377395.0,21603.0,23,97,0,120
2020,Madison,460152.0,10987.0,79,328,0,407
2020,Marion,101372.0,12021.0,6,32,0,38
2020,McDuffie,619473.0,30269.0,40,150,0,190
2020,McIntosh,214630.0,7530.0,31,260,0,291
2020,Meriwether,523712.0,20606.0,59,246,1,306
2020,Miller,209534.0,5988.0,0,0,0,0
2020,Mitchell,731626.0,21668.0,49,423,0,472
2020,Monroe,1100839.0,28055.0,1,0,0,1
2020,Montgomery,128123.0,8574.0,1,15,0,16
2020,Morgan,800659.0,20198.0,7,91,0,98
2020,Murray,1129604.0,40012.0,111,445,0,556
2020,Muscogee,9448994.0,206998.0,263,1273,13,1549
2020,Newton,2672148.0,112843.0,358,1756,1,2115
2020,Oconee,1485329.0,42013.0,28,485,0,513
2020,Oglethorpe,274319.0,14867.0,39,130,0,169
2020,Paulding,2816316.0,169570.0,440,1787,18,2245
2020,Peach,830069.0,28040.0,126,586,0,712
2020,Pickens,895961.0,33339.0,72,359,0,431
2020,Pierce,391752.0,19746.0,61,411,0,472
2020,Pike,314406.0,18936.0,31,177,0,208
2020,Polk,1056555.0,42923.0,129,1084,0,1213
2020,Pulaski,260187.0,9873.0,35,193,0,228
2020,Putnam,496076.0,22163.0,53,396,0,449
2020,Quitman,33540.0,2228.0,0,0,0,0
2020,Rabun,503162.0,16914.0,9,190,0,199
2020,Randolph,161977.0,6368.0,0,0,0,0
2020,Richmond,10693252.0,206526.0,5,131,0,136
2020,Rockdale,3568782.0,93644.0,6,0,0,6
2020,Schley,101618.0,4534.0,5,13,0,18
2020,Screven,277689.0,14078.0,9,48,0,57
2020,Seminole,282345.0,9131.0,23,104,0,127
